TRANSPOREON ID	CreditorNumber	Carrier	OriginalVAT	VAT	VatStatus	Country	StoredAddress
313765	313765	Arsenal Logistic Sp. z o.o.			missing	PL	Alley Jerozolimskie 85, 02-001, Warsaw
300152	300152	FERTRANS SPAGNA SL		ESB65925687	discovered	ES	Av. Ports D'Europa, 100, 8040, Barcelona
230460	230460	ECS European Containers NV	BE0435131508	BE0435131508	valid	BE	Karveelstraat 3, 8380, Zeebrugge
251427	McAndrPT	MacAndrews & Co Ltd	GB802298146	GB802298146	valid	GB	12 Princes Parade, Princes Dock, L3 1BG, Liverpool
318021	343065	BARSAN GLOBAL LOGISTIC KFT		HU25781841	discovered	HU	ARADI VERTANUK UTJA 13 FST 5, 9021, GYOR
282622	282622	TBX SP. Z O.O.		PL1182096488	discovered	PL	Szyszkowa 35/37, 02-285, Warszawa
280700	280700	NAPOLITRANS SRL		IT04775450655	discovered	IT	Loc. Pezzagrande, 84025, EBOLI
290599	290599	ZAMMLER Polska Sp. z o.o.	PL 5252582464	PL5252582464	valid	PL	3 Maja Nr. 8, Millenium Logistic Park, building C7, 05-800, PRUSZKOW
305312	351041	DHL FREIGHT		FR38488985771	discovered	FR	28 rue Eugène Hénaff, 69200, Vénissieux
236381	236381	P.U.T.H. TRANS-POL SP.JAWNA S. KLASZTORNY, Z.DĄBROWSKI		PL8360007706	discovered	PL	ul. Kozietulskiego 4a, 96-100, Skierniewice
286632	286632	FM LOGISTIC IBERICA, S.L.		ESB31506025	discovered	ES	C/ BERRIOBIDE, 34, 31013, ANSOAIN
327392	327392	Linktis sp. z o.o.	PL9512373803	PL9512373803	valid	PL	Stępińska 22/30, 00-739, warszawa
308710	308710	VIRADO TRANSPORT LTD			missing	GB	Lankaster Approach, North Killingholme Industrial Estate, DN40 3JZ, Immingham
328811	364586	MAERSK LINE		DK53139655	discovered	DK	Esplanaden 50, DK1263, Copenhagen
334648	334648	BATUINTERNATİONAL LOJİSTİK İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ	150 057 6603 – Atışalanı VD	1500576603–AtışalanıVD	wrong_format	TR	Oruçreis Mh. Tekstilkent Cd., No:12/A İç Kapı No: 022-023 Atışalanı/Esenler, 34235, İstanbul
312643	312643	Overis Sp.z,o.o.		PL8252176323	discovered	PL	Łapiguz 91, 21-400, Łuków
311846	311846	YILMAZ ULUSLARARASI NAKLİYAT İTH. İHR. SAN. VE TİC. LTD. ŞTİ			missing	TR	İstiklal Cad., 5204 sok, 33060, Mersin
313261	313261	ALCOR LOGISTICS Sp. z o.o.	PL5291820117	PL5291820117	valid	PL	T. Bairda 36/60, 36/60, 05-825, Grodzisk Mazowiecki
343126	343126	EVEROAD		FR55819871724	discovered	FR	24 rue Petrelle, 75002, Paris
348059	348059	SARP INTERMODAL			missing	TR	DEREBOYU NO 56, TURKOBA MAH.KAYALAR CAD. NO.10/1, 34356, ISTANBUL
346723	286269	EXPEDITORS INTERNATIONAL UK LTD		GB417141383	discovered	GB	UNIT 4, SHINE KNOWLEDGE PARK, HU8 7FB, HULL
305812	305812	GEFCO Greece			missing	GR	Lampsakou 2, 11528, Athens
351096	351016	H.Essers & Zonen Internationaal Transport NV (Pharma)	BE 0401 296 720	BE0401296720	valid	BE	Transportlaan 4, 3600, Genk
352386	352386	Hopi PL sp z o.o.	5272681413	PL5272681413	valid	PL	Przyokopowa 33, 01-208, Warszawa
354554	354554	ATOM ULUSLARARASI NAKLİYAT VE LOJİSTİK HİZMETLERİ TİC.A.S.		TR1030553378	discovered	TR	1476/1 SOKAK KATİPOGLU İS MERKEZİ NO:2 K:2 D:2 ALSANCAK, 35220, İZMİR
362880	362880	F.H.U Łuczkowski		PL7352728017	discovered	PL	Kościelna 5, 34-400, Nowy Targ
357479	357479	Marvicon SRL	RO34957399	RO34957399	valid	RO	Strada Ogorului 258, Et. 2, 410554, Oradea
365199	239770	Containerships - CMA CGM GmbH			missing	DE	Chilehaus A, Fischertwiete 2, 20095, Hamburg
365019	365019	RANGE-TRANS SPOLKA Z OGRANICZANA ODPOWIEDZIALNOSCIA			missing	PL	Matki Teresy z Kalkuty 18, lok.8, 20-538, Lublin
366132	366132	Uber Freight B.V.		NL859288961B01	discovered	NL	Mr.Treublaan 7, 1097 DP, Amsterdam
366806	366806	TRANSPIL-SPEDITION LOGISTICS GROUP SP. Z O.O. SP. KOMANDYTOWA		PL7671705599	discovered	PL	Brzozowa 2, 64-917, Skorka
374048	374048	GT-Trans Faktoring Sp. z o.o.	PL5223051994	PL5223051994	valid	PL	85 Al. Jerozolimskie, Unit 21, 02-001, Warsaw
375326	375326	Blackbuck Poland Sp. Z o.o.	PL7010943304	PL7010943304	valid	PL	Mokotowska 49, 00-542, Warszawa
377350	383302	Range Trans Group OÜ	EE 102138294	EE102138294	valid	EE	Pärnu mnt 76-7,, Harju maakond,  Kesklinna linnaosa,, 10131, Tallinn
379056	379056	Luk-Trans Łukasz Bloch		PL7621873194	discovered	PL	26A, BLOCHY, 07-210, Długosiodło
387692	387692	KRAFTTRANS Taurus Sp. z o.o.	5213880950	PL5213880950	valid	PL	ul. BARTYCKA, nr 22B, lok. 21A, 00-716, WARSZAWA
391494	221832	DHL Parcel (Switzerland) AG		CHE109390707MWST	discovered	CH	Güterstrasse 107, 4133, Pratteln
302920	302920	F&O Agnieszka Osica-Foltyn		PL8221247476	discovered	PL	F&O Agnieszka Osica-Foltyn, 05-300, Mińsk Mazowiecki
400030	400030	DBK LOGISTICS SP. Z O.O. SP.K.		PL5252827718	discovered	PL	Zajęcza 15, 00-351, Warszawa
400421	268459	Broekman Logistics Sp. z o.o.		PL7811851793	discovered	PL	Piekary 6/8, 61-823, Poznań
400691	366132	sennder Benelux B.V._TC		NL859288961B01	discovered	NL	Keizersgracht 62-64, 1015 CS, Amsterdam
399723	399723	LOPEZ & RYDER LOGISTIC S.L.U.	ESB01729920	ESB01729920	valid	ES	Miquel Roca i Junyent nº7, local 212, 50011, Zaragoza
313610	313610	SA TORELLO TRASPORTI SRL		FR77822218129	discovered	FR	5 RUE DE MALACOMBE, BP 54, 38070, LYON
412708	412708	FM Logistic - Crépy-en-Valois (FR60)		FR27367801404	discovered	FR	rue du Bois de Tillet, BP60224, 60802, Crépy-en-Valois
413540	413540	Quality Trans Sp.z o.o.			missing	PL	Tadeusza Kościuszki 38/24, 40-048, Katowice
423233	423233	GRAMIX Sp. z .o.o.	PL1182153482	PL1182153482	valid	PL	Komorów, 05-085, Kampinos
434944	434944	TSL Wiolmar Marcin Osiński	PL5311529716	PL5311529716	valid	PL	Broninek 4, 05-190, Nasielsk
441173	441173	UAB Girteka Europe West		LT100015399114	discovered	LT	Laisvės pr. 36, 4340, Vilnius
442297	442297	Ellerman City Liners	GB398523059	GB398523059	valid	GB	133 Hall Lane, RM141AL, Upminster
460334	460334	SAFE SHIPPING SP. Z O.O.		PL5862072135	discovered	PL	JANUSZA KORCZAKA 13, 81-473, GDYNIA
601754	428936	AKBULUT NAK TUR LTD ŞTİ			missing	TR	içerenköy mah prof dr necmettin erbakan cad no 83 K:2 D:7, 34752, İSTANBUL
459342	459342	Damco Germany GmbH		DE811151940	discovered	DE	Katharinenstraße 5, 20457, Hamburg
226386	226386	Unifeeder Germany			missing	DE	Neuer Dovenhof, Brandstwiete 1, 20457, Hamburg
