TRANSPOREON ID,Carrier,OriginalVAT,VAT,VatSource,Country,Registered,RegisteredName,RegisteredAddress,StoredAddress,NameMatch,AddressMatch,Confidence,Notes
228031,ARCESE TRASPORTI S.P.A.,122680226,IT00122680226,discovered,IT,Yes,ARCESE TRASPORTI S.P.A.,"VIA A MORO 95 , 38062 ARCO TN","VIA ALDO MORO, 95, 38062, ARCO (TN)",Match,Match,Likely correct,Web: aziende.it / reportaziende.it. stored VAT IT122680226 was missing leading 00
228684,ECS European Containers NV,BE0435131508,BE0435131508,original,BE,Yes,NV ECS EUROPEAN CONTAINERS,"Baron de Maerelaan 155, 8380 Brugge","Karveelstraat 3, 8380, Zeebrugge",Match,Partial,Confirmed,
227703,DHL Freight France,,FR57488985771,discovered,FR,,DHL FREIGHT (FRANCE) SAS,"19 Boulevard du Courcerin, 77185 Lognes, Marne la Vallée Cedex 2","19, boulevard du Courcerin ZI Lognes Pariest, 77312, Marne la Vallée Cedex 2",Match,N/A,Unresolved,"No VAT: missing; Web: xerfi.com / manageo.fr. SIREN 488985771, SIRET 48898577100457"
223624,Waberer's International Zrt.,HU17781578,HU17781578,original,HU,Yes,Áfa csoport / VAT Group (Az áfa csoport tagjai lekérdezhetőek: / Members of the VAT group can be checked on: https://nav.gov.hu/adatbazisok/adatbleker/csoportos_afaalanyok),NAGYKOROSI ÚT 351 1239 BUDAPEST,"Nagykörösi út 351., 1239, Budapest",Partial,Match,Confirmed,Registered name is a Hungarian VAT-group placeholder rather than a company legal name; Waberer's International Zrt. is a confirmed group member
228119,SKAT TRANSPORT SP. Z O.O. SP. K.,PL 5851356886,PL5851356886,original,PL,Yes,SKAT TRANSPORT PROSTA SPÓŁKA AKCYJNA,"JULIUSZA SŁOWACKIEGO 199, 80-298 GDAŃSK","SŁOWACKIEGO 199, 80-298, GDAŃSK",Partial,Match,Confirmed,SKAT TRANSPORT SP. Z O.O. SP. K. → SKAT TRANSPORT PROSTA SPÓŁKA AKCYJNA (legal form changed from limited/komandytowa to prosta S.A.)
226977,"P.H.U.S EXPORT-IMPORT ""TRANSPIL-SPEDITION""",PL7670003116,PL7670003116,original,PL,Yes,WALDEMAR BOCHEŃSKI,"SKÓRKA , BRZOZOWA 2, 77-430 KRAJENKA","Brzozowa 2, 77430, Krajenka,Skórka",Partial,Match,Confirmed,"P.H.U.S EXPORT-IMPORT ""TRANSPIL-SPEDITION"" → WALDEMAR BOCHEŃSKI (sole proprietorship / JDG registered under owner's personal name)"
241761,MAGTRANS Sp. z o. o.,PL6551430917,PL6551430917,original,PL,Yes,'MAGTRANS' SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"BOHATERÓW WARSZAWY 116, 28-100 BUSKO-ZDRÓJ","Bohaterow Warszawy 116, 28-100, Busko-Zdroj",Match,Match,Confirmed,
322784,CH Robinson FR-Caen,FR43322939265,FR43322939265,discovered,FR,Yes,SAS C.H ROBINSON FRANCE,"BP 58321, 165 AV DU BOIS DE LA PIE, 95700 ROISSY EN FRANCE","6 RUE DU COLONEL REMY, 14000, CAEN",Match,Mismatch,Likely correct,"Web: existing VAT (format valid, already validated in Pass 1). kept existing valid VAT from input"
302679,REGESTA S.A.,6621004747,PL6621004747,original,PL,Yes,REGESTA SPÓŁKA AKCYJNA,"NOWOWIEJSKA 52A, 28-400 PIŃCZÓW","NOWOWIEJSKA 52A, 28-400, Pińczów",Match,Match,Confirmed,
230296,Gopet Trans EOOD,BG831689341,BG831689341,original,BG,Yes,ГОПЕТ ТРАНС - ЕООД,"ул. Вега  №7 обл.СОФИЯ, с.КАЗИЧЕНЕ 1532","Kazichene, Bivsh Stopanski dvor, Skladova Baza GOPET LOGISTICS, 1532, SOFIA",Match,Partial,Confirmed,
NULL,GEFCO,,FR24789791464,discovered,FR,error,GEFCO FRANCE (Ceva Logistics Ground & Rail France),"7 Allée de l'Arche, 92400 Courbevoie","9 bld kennedy, 25000, BESANCON",Partial,N/A,Unresolved,"No VAT: missing; Web: lefigaro.fr / societe-profile.fr. GEFCO FRANCE parent SIREN 789791464 (now Ceva Logistics Ground & Rail France); Besançon site is a branch using parent VAT; API Pass 2 error: MS_MAX_CONCURRENT_REQ; GEFCO (France) → GEFCO FRANCE now CEVA LOGISTICS GROUND & RAIL FRANCE (post-2022 CMA CGM rebrand); registered ""error"" so address not compared"
237885,Devnak Nakliyat,2940036980,TR2940036980,discovered,TR,N/A (non-EU),,,"Merkez Mahallesi Bahçeler Cad. No:3, 34540, İstanbul",N/A,N/A,Non-EU,"Web: existing VAT (non-EU, already validated). kept existing VAT; non-EU so no VIES confirmation possible"
241951,Raben Trans European Germany GmbH,DE 200207156,DE200207156,discovered,DE,No,,,"Regioparkring 8, 41199, Mönchengladbach",N/A,N/A,Unresolved,"Web: existing VAT (format valid, already validated in Pass 1). kept existing valid VAT from input; API Pass 2: not registered"
230574,FIRMA TRANSPORTOWO SPEDYCYJNO HANDLOWA MIELCZAREK ANDRZEJ,PL8290001407,PL8290001407,original,PL,Yes,ANDRZEJ MIELCZAREK,"WILCZA 25, 98-220 ZDUŃSKA WOLA","WILCZA 25, 98-220, ZDUŃSKA WOLA",Match,Match,Confirmed,
228717,P.W. Podkowa Sp. z o.o.,,PL5340001656,discovered,PL,Yes,PRZEDSIĘBIORSTWO WIELOBRANŻOWE PODKOWA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"STORCZYKÓW 23, 05-807 PODKOWA LEŚNA","al. Krakowska 51, 5551, Mroków",Match,Mismatch,Likely correct,"No VAT: missing; Web: biznesfinder.pl / imsig.pl. NIP 5340001656, REGON 002151631"
316916,HILAL TRANS ULUSLARARASI TASIMACILIK ITH. IHR.TURIZM VE TİC. LTD.STİ,4630004323,TR4630004323,discovered,TR,N/A (non-EU),,,"İnonu Mah. Kayisdagi Cad. No: 282, Atasehir, 34755, istanbul",N/A,N/A,Non-EU,"Web: existing VAT (non-EU, already validated). kept existing VAT; non-EU so no VIES confirmation possible"
302772,Geodis United Kingdom Ltd,,GB745967283,discovered,GB,Yes,GEODIS UNITED KINGDOM LIMITED,"3 NEWMANS ROW, LINCOLNS INN LINCOLN ROAD, CRESSEX BUSINESS PARK, HIGH WYCOMBE, HP12 3RE, GB","Coronation Road, HP12 3TA, High Wycombe",Match,Partial,Likely correct,No VAT: missing; Web: vat-lookup.co.uk / Companies House. Companies House no. 01912705; related entity Geodis Contract Logistics UK has GB355475574
230364,DELAMODE ROMANIA,RO6322498,RO6322498,original,RO,Yes,DELAMODE ROMANIA SRL,"MUNICIPIUL  BUCUREŞTI, SECTOR 6 00000 BLD. TIMIŞOARA Nr. 4A Et. 1","B-dul Timisoara, Nr. 111 - 115, Sector 6, 61327, Bukarest",Match,Partial,Confirmed,
237312,CAT LC Portugal,PT 506 906 612,PT506906612,original,PT,Yes,CAT LC AFRETAMENTOS E LOGISTICA CARGO UNIPESSOAL LDA,"URBANIZAÇÃO DO PASSIL LOTE 93 A RUA DO VALE DA MAÇAROCA N 34, 7, ALCOCHETE, 2890-182 ALCOCHETE","Quinta da Marqueza 1, Herdade Quinta da Torre, Vila Amélia, Armazém 1, Fracção 2, 2950-678, Quinta do Anjo",Match,Mismatch,Confirmed,
227683,CONEXTRANS  I.F.F.  S.A.  (A.G.),EL095349047,EL095349047,original,GR,Yes,CONEXTRANS ΑΝΩΝΥΜΗ ΕΤΑΙΡΙΑ ΔΙΕΘΝΩΝ ΚΑΙ ΕΘΝΙΚΩΝ ΜΕΤΑΦΟΡΩΝ||CONEXTRANS ΑΕ,ΘΕΡΜΗ ΑΡΙΘΝΟΣ  ΑΓΡΟΤΕΜ 51 0         57001 - ΘΕΡΜΗ,"12, Str. Lachanagoras, 54628, THESSALONIKI",Match,Partial,Confirmed,
239887,MacAndrews GmbH,,,original,GB,,,,"75 King William Street, EC4N 7BE, LONDON",N/A,N/A,Unresolved,No VAT: missing; Macandrews & Company Limited (co. no. 00334790) at the stored London address exists but VAT not publicly listed; name suggests German entity but country/address is UK; no clear match found
233639,Transport H. Essers & Zonen Nv,BE 0401.296.720,BE0401296720,original,BE,Yes,NV HENRI ESSERS EN ZONEN INTERNATIONAAL TRANSPORT,"Transportlaan 4, 3600 Genk","Transportlaan 4, 3600, genk",Match,Match,Confirmed,
238494,GT-Trans Polska Sp. z o.o.,PL0000000000,PL1181887288,discovered,PL,No,GT-TRANS POLSKA SP. Z O.O.,"ul. Przejazdowa 18, 05-800 Pruszków (historic) / Pass, 05-870 (current)","Przejazdowa, 18, 5800, Pruszkow",Match,N/A,Unresolved,"No VAT: placeholder; Web: panoramafirm.pl / imsig.pl. NIP 1181887288, KRS 0000276747; API Pass 2: not registered"
224932,Gartner Intertrans Hungária Kft.,HU10457812,HU10457812,original,HU,Yes,"GARTNER INTERTRANS HUNGÁRIA NEMZETKÖZI FUV.,SZÁLLITMÁNYOZÁSI KFT.",SPEDITOR UTCA 1. 8900 ZALAEGERSZEG,"Speditor u. 1., 8900, Zalaegerszeg",Match,Match,Confirmed,
229121,DARTOM SP. Z O.O.,PL8380000966,PL8380000966,original,PL,Yes,DARTOM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"BAŁTYCKA 50, 05-825 GRODZISK MAZOWIECKI","BAŁTYCKA 50, 05-825, GRODZISK MAZOWIECKI",Match,Match,Confirmed,
221926,HEMMERLIN SA,FR 11399514611,FR11399514611,original,FR,Yes,SAS HEMMERLIN,"12 RUE DES CEVENNES, 68390 SAUSHEIM","12, rue des Cévennes, 68390, Sausheim",Match,Match,Confirmed,
230955,FM Polska Sp. z o. o.,PL8381000827,PL8381000827,original,PL,Yes,FM POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"TARCZYŃSKA 111A, 96-320 MSZCZONÓW","Ługowa 30, 96-320, Mszczonów",Match,Partial,Confirmed,
231137,Girteka Logistics Ltd,LT100005407518,LT100005407518,original,LT,Yes,EVERWEST UAB,"Laisvės pr. 36, Vilniaus m., Vilniaus m. sav.","Kuprinoniskes vlg, 13279, Vilnius region",Mismatch,Partial,To be verified,"API returns EVERWEST UAB — a different Lithuanian entity, not Girteka Logistics; possible wrong VAT in source data or VAT reassigned"
258468,EST Contracts BV - Istanbul branch,,NL811514274,discovered,NL,,EST Contracts B.V.,"Teleportboulevard 120, 1043 EJ Amsterdam","Teleportboulevard 120, 1043 EJ, Amsterdam",Match,N/A,Unresolved,"No VAT: missing; Web: sibling records (Budapest/Poland branches use NL811514274). stored address matches Amsterdam NL parent; a separate new EST Contracts B.V. (KvK 94776245, NL866889899B01) founded 2024 also exists"
230869,Frode laursen,DK0000000000,DK29482713,discovered,DK,Yes,FRODE LAURSEN A/S,"Vittenvej 90, 8382 Hinnerup","vittenvej 90, 8382, hinnerup",Match,Match,Likely correct,No VAT: placeholder; Web: proff.dk / estatistik.dk. CVR 29482713 confirmed at Hinnerup
229592,Transforwarding International Sp. z o.o.,,PL5342147482,discovered,PL,Yes,TRANSFORWARDING INTERNATIONAL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"NA SKRAJU 73 MA, 05-090 RASZYN","Na Skraju 73A, 05-090, Raszyn",Match,Match,Likely correct,No VAT: missing; Web: emis.com / alejafirm.pl. NIP 5342147482 confirmed at Raszyn address
230876,CONTAINERSHIPS PLC,FI08183585,FI08183585,discovered,FI,No,,,"Mannerheimintie 15a, 260, Helsinki",N/A,N/A,Unresolved,"Web: existing VAT (format valid, already validated in Pass 1). kept existing valid VAT from input; API Pass 2: not registered"
230935,DHL Express Portugal Lda.,PT0000000000,PT500731993,discovered,PT,Yes,DHL EXPRESS PORTUGAL LDA,"AEROPORTO DE LISBOA RUA C EDIFICIO 69 3 PISO GABINETE 306 30, 8, LISBOA, 1700-008 LISBOA","Urbanização do Passil, Lote 93 A, Passil, 2890, Alcochete",Match,Mismatch,Likely correct,No VAT: placeholder; Web: iberinform.pt / ccip.pt. NIF 500731993; Alcochete is an operational location of the Lisboa-registered entity
231183,EST Contracts BV - Lyon branch,,,original,FR,,,,"Teleportboulevard 120, 1043EJ, Amsterdam",N/A,N/A,Unresolved,"No VAT: missing; Low confidence: NL811514274 (sibling records (same NL parent VAT used on other branches)). stored address is Amsterdam NL parent, not a real Lyon FR registration; an FR branch would need its own FR VAT which was not found"
229564,EST Contracts BV - Budapest branch,NL811514274,NL811514274,discovered,HU,,,,"Teleportboulevard 120, 1043 EJ, Amsterdam",N/A,N/A,Unresolved,"Web: existing VAT (format valid, already validated in Pass 1). kept existing VAT from input; NL parent VAT used for HU branch"
233875,EST Poland sp. z o.o. - branch 1,NL811514274B01,NL811514274B01,discovered,PL,,,,"Łucka 9, 00-842, Warszawa",N/A,N/A,Unresolved,"Web: existing VAT (format valid, already validated in Pass 1). kept existing VAT from input; Dutch parent VAT with B01 branch suffix"
244609,"A. T. TROTA, S.A.",ESA25038142,ESA25038142,original,ES,Yes,N/A,N/A,"CIM LLEIDA VIAL E, PARCELA 17, 25190, LLEIDA",N/A,N/A,Confirmed,
341645,"Luís Simões Logística Integrada, S.A.",PT-500289050,PT500289050,original,PT,Yes,"LUÍS SIMÕES LOGÍSTICA INTEGRADA, S.A.","MONINHOS, LOURES, 2670-501 LOURES","Moninhos, Apartado 41, 2671-951, Loures",Match,Match,Confirmed,
258676,transportes J. CARRION,A-04014635,ESA04014635,original,ES,Yes,N/A,N/A,"C/PABLO PICASSO, 1, 4230, HUERCAL DE ALMERIA",N/A,N/A,Confirmed,
336195,GEFCO Deutschland GmbH,DE811122082,DE811122082,original,DE,Yes,N/A,N/A,"Kurhessenstraße 13, 64546, Mörfelden-Walldorf",N/A,N/A,Confirmed,
241914,ERONTRANS SP. Z O. O.,PL5890011743,PL5890011743,original,PL,Yes,ERONTRANS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"GRUNWALDZKA 64B, 83-000 PRUSZCZ GDAŃSKI","Grunwaldzka 64b, PL 83-000, Pruszcz Gdanski",Match,Match,Confirmed,
260712,GEFCO ITALIA SPA,,IT08983530158,discovered,IT,Yes,CEVA GROUND LOGISTICS ITALY S.P.A.,"STRADA 3 PALAZZO B5 SNC , 20057 ASSAGO MI","VIA PALIZZI 89, 20157, MILANO",Partial,Partial,Likely correct,No VAT: missing; Web: coobiz.it / impresaitalia.info. partita IVA 08983530158 at Milano headquarters; GEFCO ITALIA SPA → CEVA GROUND LOGISTICS ITALY S.P.A. (GEFCO rebranded to CEVA after 2022 CMA CGM acquisition); stored Milano vs registered Assago (Milan metropolitan area)
257414,Transportes Pascoal,PT0000000000,PT500514666,discovered,PT,Yes,"TRANSPORTES PASCOAL, S.A.","ESTRADA NACIONAL N 1 SANTA LUZIA, BARCOUÇO, 3050-106 BARCOUCO","Santa Luzia, 3050-106, Coimbra Norte",Match,Partial,Likely correct,"No VAT: placeholder; Web: iberinform.pt / einforma.pt. NIF 500514666; registered office is Barcouço (Mealhada), stored Coimbra Norte is a branch location"
235114,MÜLLER TRANSPORTE GmbH,ATU 194 32 905,ATU19432905,original,AT,Yes,Müller BeteiligungsverwaltungsGmbH,"Palmersstraße 10, AT-2351 Wiener Neudorf","Palmersstrasse 10, 2351, WIENER NEUDORF",Partial,Match,Confirmed,MÜLLER TRANSPORTE GmbH → Müller Beteiligungsverwaltungs GmbH (VAT held by holding/asset-management entity; operating transport entity uses the same Wiener Neudorf address)
270235,H. Essers Transport Company Nederland BV,,NL002837110B01,discovered,NL,,H.Essers Transport Company Nederland B.V.,"Blankenweg 11, 4612 RC Bergen op Zoom (main); J.F. Kennedylaan 42, 5555 XD Valkenswaard (former)","J.F. Kennedylaan 42, 5555 XD, Valkenswaard",Match,N/A,Unresolved,"No VAT: missing; Web: transfirm.nl / creditsafe.com. KvK 17040185; Valkenswaard branch deregistered, main office now Bergen op Zoom"
336720,ITF Polska Sp. z o.o.,PL1181733941,PL1181733941,discovered,PL,No,,,"Warszawska 109/6, 05-092, Lomianki",N/A,N/A,Unresolved,"Web: existing VAT (format valid, already validated in Pass 1). kept existing valid VAT from input; API Pass 2: not registered"
263360,ABC Czepczynski Spolka z o.o. Sp.k.,PL5951442504,PL5951442504,original,PL,Yes,ABC CZEPCZYŃSKI SP. Z O.O. SPÓŁKA KOMANDYTOWA,"WIGURY 20, 64-400 MIĘDZYCHÓD","Wigury 20, 64400, Międzychód",Match,Match,Confirmed,
233811,VAN CARGO S.A.,PL5242125771,PL5242125771,original,PL,Yes,VAN CARGO SPÓŁKA AKCYJNA,"PRZECŁAWSKA 8, 03-879 WARSZAWA","PRZECLAWSKA 8, 03-879, WARSAW",Match,Match,Confirmed,
234810,Schenker Sp z o.o.,,PL5270103824,discovered,PL,Yes,SCHENKER SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"ŻWIRKI I WIGURY 16C, 02-092 WARSZAWA","Ordona 2a, 1237, Warszawa",Match,Partial,Likely correct,"No VAT: missing; Web: fdk.pl / imsig.pl. NIP 5270103824, KRS 0000040104"
244040,Hellmann Worldwide Logistics Polska Sp.z o.o sp. k.,PL1230005823,PL1230005823,original,PL,Yes,HELLMANN WORLDWIDE LOGISTICS POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,"ALEJA KRAKOWSKA 61, 02-183 WARSZAWA","Sokołowska 10, 05-090, Raszyn",Match,Partial,Confirmed,
339773,Vesta Ukraine,,35322154,discovered,UA,,"ТОВ ""ВЄСТА УКРАЇНА"" (LLC VESTA UKRAINE)","проспект Бандери Степана, будинок 6, 04076 Київ","Moscow p-t. 6, of 505, 4073, Kiev",Match,N/A,Non-EU,No VAT: missing; Web: opendatabot.com. Ukrainian EDRPOU code (UA has no VAT prefix format); name match ТОВ Вєста Україна at Kiev address
342148,DHL EXPRESS SP. Z O.O.,PL0000000000,,original,PL,,,,"OSMAŃSKA 2, 2823, WARSZAWA",N/A,N/A,Unresolved,"No VAT: placeholder; Low confidence: PL5270022391 (krs-online.com.pl / biznesfinder.pl). name matches DHL Express Poland Sp. z o.o. (NIP 5270022391) but its registered address is Wirażowa 37, not Osmańska 2; DHL Parcel Polska (NIP 9512417713) sits at Osmańska 2"
234204,TARGOR-TRUCK SP. Z O.O.,7582045405,PL7582045405,original,PL,Yes,"""TARGOR-TRUCK"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","ŁAWY 97, 07-411 RZEKUŃ","ŁAWY 97, 07-411, RZEKUŃ",Match,Match,Confirmed,
308816,Ekol Logistics,TR0000000000,TR3300012602,discovered,TR,,Ekol Lojistik Anonim Şirketi,Sancaktepe/İstanbul (HQ); Sultanbeyli operational site,"Ekol Caddesi 2, Sultanbeyli, 34935, İstanbul",Match,N/A,Non-EU,"No VAT: placeholder; Web: ekol.dev (company website). Vergi No 3300012602, MERSIS 330001260200018; legal name Ekol Lojistik A.Ş."
322241,Tradecor s.r.l.,IT 00 160 120 266,IT00160120266,discovered,IT,,,,"Via Lucia Frischin 1, 39100, Bolzano (BZ)",N/A,N/A,Unresolved,"Web: existing VAT (format valid, already validated in Pass 1). kept existing valid VAT from input"
242116,DHL Freight Belgium nv,BE0401264551,BE0401264551,original,BE,Yes,NV DHL FREIGHT (BELGIUM),"Brandekensweg 2, 2627 Schelle","Eppegemsesteenweg 31 - 33, 1850, Grimbergen",Match,Mismatch,Confirmed,
326071,MANVESTA,LT582970113,LT582970113,original,LT,Yes,"UAB ""Manvesta""","P. Paulaičio g. 13B, Jurbarko m., Jurbarko miesto sen., Jurbarko r. sav.","P. Paulaicio str. 13B, 74111, Jurbarkas",Match,Match,Confirmed,
260224,CAMPILLO PALMERA SL,ESB73783003,ESB73783003,original,ES,Yes,N/A,N/A,"CTRA MADRID KM 373, P I LA SERRETA, 30500, MOLINA DE SEGURA - MURCIA",N/A,N/A,Confirmed,
256443,ATC CARGO SA,,PL9581531010,discovered,PL,Yes,ATC CARGO SPÓŁKA AKCYJNA,"KIELECKA 2, 81-303 GDYNIA","Polska 13A, 81-339, Gdynia",Match,Partial,Likely correct,"No VAT: missing; Web: KRS / rejestrkrs.pl. KRS 0000303741, NIP matches Gdynia address"
243850,Bei-Trans,,UA31526028,discovered,UA,,ТОВ БЕЙ-ТРАНС,"79015, Lviv, Boguna Street, 8, apt. 8","Junakiva,9, Генерала Юнакива, 9, 79039, Lviv",Match,N/A,Non-EU,No VAT: missing; Web: opendatabot.ua. EDRPOU 31526028; active VAT payer
265117,DHL Global Forwarding (Italy) S.p.A. – Div. Freight,,IT00754800159,discovered,IT,Yes,DHL GLOBAL FORWARDING (ITALY) SPA,"VIA DELLE INDUSTRIE 1 , 20060 POZZUOLO MARTESANA MI","Via delle Industrie 1, 20060, Pozzuolo Martesana",Match,Match,Likely correct,"No VAT: missing; Web: registroaziende.it / companyreports.it. Address matches Via delle Industrie 1, Pozzuolo Martesana"
